POSCAR used: POSCAR_0
Execution time: 0.009214 seconds
Execution time: 0.002688 seconds
Execution time: 0.001092 seconds
Execution time: 0.001183 seconds
Execution time: 0.001076 seconds
Execution time: 0.001023 seconds
Execution time: 0.001224 seconds
Execution time: 0.001921 seconds
Execution time: 0.001211 seconds
Execution time: 0.000996 seconds
Execution time: 0.001030 seconds
Execution time: 0.000953 seconds
Execution time: 0.000933 seconds
Execution time: 0.001787 seconds
Execution time: 0.001081 seconds
Execution time: 0.001876 seconds
Execution time: 0.001354 seconds
Execution time: 0.001054 seconds
Execution time: 0.000918 seconds
Execution time: 0.000963 seconds
Execution time: 0.000970 seconds
Execution time: 0.000976 seconds
Execution time: 0.000979 seconds
Execution time: 0.000907 seconds
Execution time: 0.000928 seconds
Execution time: 0.000968 seconds
Execution time: 0.001410 seconds
Execution time: 0.001421 seconds
Execution time: 0.002285 seconds
Execution time: 0.001081 seconds
Execution time: 0.000972 seconds
Execution time: 0.000944 seconds
Execution time: 0.000906 seconds
Execution time: 0.000956 seconds
Execution time: 0.000943 seconds
Execution time: 0.000953 seconds
Execution time: 0.000916 seconds
Execution time: 0.000964 seconds
Execution time: 0.001588 seconds
Execution time: 0.001398 seconds
Execution time: 0.001123 seconds
Execution time: 0.000925 seconds
Execution time: 0.000944 seconds
Execution time: 0.001019 seconds
Execution time: 0.000973 seconds
Execution time: 0.000961 seconds
Execution time: 0.000961 seconds
Execution time: 0.000942 seconds
Execution time: 0.000935 seconds
Execution time: 0.000934 seconds
Execution time: 0.002075 seconds
Execution time: 0.001839 seconds
Execution time: 0.001074 seconds
Execution time: 0.000917 seconds
Execution time: 0.000949 seconds
Execution time: 0.000955 seconds
Execution time: 0.001086 seconds
Execution time: 0.000977 seconds
Execution time: 0.000945 seconds
Execution time: 0.000926 seconds
Execution time: 0.000953 seconds
Execution time: 0.000946 seconds
Execution time: 0.002160 seconds
Execution time: 0.001448 seconds
Execution time: 0.001087 seconds
Execution time: 0.001006 seconds
Execution time: 0.000982 seconds
Execution time: 0.001021 seconds
Execution time: 0.001006 seconds
Execution time: 0.000977 seconds
Execution time: 0.000941 seconds
Execution time: 0.000983 seconds
Execution time: 0.000925 seconds
Execution time: 0.000935 seconds
Execution time: 0.002371 seconds
Execution time: 0.001182 seconds
Execution time: 0.001136 seconds
Execution time: 0.000999 seconds
Execution time: 0.000929 seconds
Execution time: 0.000981 seconds
Execution time: 0.001058 seconds
Execution time: 0.000985 seconds
Execution time: 0.000931 seconds
Execution time: 0.000936 seconds
Execution time: 0.000941 seconds
Execution time: 0.001758 seconds
Execution time: 0.001715 seconds
Execution time: 0.001596 seconds
Execution time: 0.001038 seconds
Execution time: 0.001466 seconds
Execution time: 0.001050 seconds
Execution time: 0.000942 seconds
Execution time: 0.000922 seconds
Execution time: 0.000949 seconds
Execution time: 0.000959 seconds
Execution time: 0.001586 seconds
Execution time: 0.002520 seconds
Execution time: 0.002085 seconds
Execution time: 0.001048 seconds
Execution time: 0.001010 seconds
Average execution time: 0.001260 seconds
