POSCAR used: POSCAR_0
Execution time: 0.009896 seconds
Execution time: 0.001603 seconds
Execution time: 0.001845 seconds
Execution time: 0.001947 seconds
Execution time: 0.001329 seconds
Execution time: 0.001203 seconds
Execution time: 0.001098 seconds
Execution time: 0.001137 seconds
Execution time: 0.001124 seconds
Execution time: 0.002176 seconds
Execution time: 0.002688 seconds
Execution time: 0.001866 seconds
Execution time: 0.001600 seconds
Execution time: 0.001348 seconds
Execution time: 0.001392 seconds
Execution time: 0.001312 seconds
Execution time: 0.001375 seconds
Execution time: 0.001917 seconds
Execution time: 0.002271 seconds
Execution time: 0.001459 seconds
Execution time: 0.001443 seconds
Execution time: 0.001369 seconds
Execution time: 0.001706 seconds
Execution time: 0.001645 seconds
Execution time: 0.001527 seconds
Execution time: 0.002162 seconds
Execution time: 0.001829 seconds
Execution time: 0.001449 seconds
Execution time: 0.001334 seconds
Execution time: 0.001526 seconds
Execution time: 0.001153 seconds
Execution time: 0.000970 seconds
Execution time: 0.001159 seconds
Execution time: 0.001095 seconds
Execution time: 0.001529 seconds
Execution time: 0.001584 seconds
Execution time: 0.001405 seconds
Execution time: 0.001178 seconds
Execution time: 0.001190 seconds
Execution time: 0.001250 seconds
Execution time: 0.001383 seconds
Execution time: 0.001167 seconds
Execution time: 0.001364 seconds
Execution time: 0.001121 seconds
Execution time: 0.001424 seconds
Execution time: 0.001811 seconds
Execution time: 0.001347 seconds
Execution time: 0.001264 seconds
Execution time: 0.001169 seconds
Execution time: 0.001155 seconds
Execution time: 0.001124 seconds
Execution time: 0.001153 seconds
Execution time: 0.001128 seconds
Execution time: 0.001166 seconds
Execution time: 0.001126 seconds
Execution time: 0.001222 seconds
Execution time: 0.001867 seconds
Execution time: 0.001309 seconds
Execution time: 0.001254 seconds
Execution time: 0.001150 seconds
Execution time: 0.001240 seconds
Execution time: 0.001108 seconds
Execution time: 0.001111 seconds
Execution time: 0.001168 seconds
Execution time: 0.001075 seconds
Execution time: 0.001119 seconds
Execution time: 0.002102 seconds
Execution time: 0.001691 seconds
Execution time: 0.001226 seconds
Execution time: 0.001335 seconds
Execution time: 0.001201 seconds
Execution time: 0.001155 seconds
Execution time: 0.001218 seconds
Execution time: 0.001162 seconds
Execution time: 0.001161 seconds
Execution time: 0.001126 seconds
Execution time: 0.001900 seconds
Execution time: 0.001522 seconds
Execution time: 0.001708 seconds
Execution time: 0.001542 seconds
Execution time: 0.001357 seconds
Execution time: 0.001257 seconds
Execution time: 0.001232 seconds
Execution time: 0.001082 seconds
Execution time: 0.001068 seconds
Execution time: 0.000979 seconds
Execution time: 0.001681 seconds
Execution time: 0.001742 seconds
Execution time: 0.001375 seconds
Execution time: 0.001180 seconds
Execution time: 0.001098 seconds
Execution time: 0.000988 seconds
Execution time: 0.001112 seconds
Execution time: 0.001057 seconds
Execution time: 0.001095 seconds
Execution time: 0.001106 seconds
Execution time: 0.001075 seconds
Execution time: 0.002022 seconds
Execution time: 0.001858 seconds
Execution time: 0.001403 seconds
Average execution time: 0.001474 seconds
